Designator,Mid X,Mid Y,Layer,Rotation
C4,45.75,77.339,Top,90
U5,80.67,15.54,Top,0
U4,10.8025,73.25,Top,270
U3,42.25,75.5,Top,0
U2,15.5334,68.4706,Top,0
U1,49.775,65.26,Top,0
SENS15,71,20,Top,270
SENS14,71,32.5,Top,270
SENS13,71,45,Top,270
SENS12,71,57.5,Top,270
SENS11,41.5,12.5,Top,90
SENS10,41.5,25,Top,90
SENS9,41.5,37.5,Top,90
SENS8,41.5,50,Top,90
SENS7,36,20,Top,270
SENS6,36,32.5,Top,270
SENS5,36,45,Top,270
SENS4,36,57.5,Top,270
SENS3,6.5,12.5,Top,90
SENS2,6.5,25,Top,90
SENS1,6.5,37.5,Top,90
SENS0,6.5,50,Top,90
R30,72.75,18.325,Top,90
R29,72.75,30.825,Top,90
R28,72.75,43.325,Top,90
R27,72.75,55.825,Top,90
R26,39.75,13.325,Top,90
R25,39.75,25.825,Top,90
R24,39.75,38.325,Top,90
R23,39.75,50.825,Top,90
R22,37.75,18.325,Top,90
R21,37.75,30.825,Top,90
R20,37.75,43.325,Top,90
R19,37.75,55.825,Top,90
R18,4.75,13.325,Top,90
R17,4.75,25.825,Top,90
R16,4.75,38.325,Top,90
R15,4.75,50.825,Top,90
R14,85.75,25,Top,90
R13,75.6,21.8,Top,270
R12,43.925,63,Top,0
R11,52,60.25,Top,90
R10,51.094,77.881,Top,270
R9,30.9186,93.5736,Top,0
R8,9.6,84.575,Top,180
R7,34.375,70.125,Top,0
R6,32.325,68.025,Top,90
R5,13.3084,63.8206,Top,0
R4,13.3084,64.8956,Top,180
R3,15.2584,64.8956,Top,0
R2,3.6,87.8,Top,270
R1,4.6,87.8,Top,270
Q2,34.844,68.361,Top,0
Q1,27,76.75,Top,90
HEATER,71,7.5,Top,270
H3,4.475,81.675,Top,270
D4,49.694,77.406,Top,270
D3,27.9764,93.5736,Top,180
D2,10.05,82.4,Top,270
D1,27,73.25,Top,180
C13,38.2,61.775,Top,90
C12,36.125,71.6,Top,270
C11,43.925,64,Top,180
C10,46.5,70.25,Top,270
C9,45.125,69.95,Top,90
C8,50.025,60.25,Top,90
C7,53.15,69.65,Top,180
C6,49,70.25,Top,90
C5,48.025,70.25,Top,90
C3,38.5,75.5,Top,90
C2,24.6,76.1,Top,270
C1,11.5334,66.9706,Top,180
